time,mean_density
UTC,Linear density (Log10(no. km-1+ 1)).
1999-01-01T00:00:00Z,0.6407
2000-01-01T00:00:00Z,0.6663
2001-01-01T00:00:00Z,0.2325
2002-01-01T00:00:00Z,0.6842
2003-01-01T00:00:00Z,0.343
2004-01-01T00:00:00Z,0.5777
2005-01-01T00:00:00Z,0.107
2006-01-01T00:00:00Z,0.7785
2007-01-01T00:00:00Z,0.0549
2008-01-01T00:00:00Z,0.3749
2009-01-01T00:00:00Z,0.2444
2010-01-01T00:00:00Z,0.2699
2011-01-01T00:00:00Z,0.1576
2012-01-01T00:00:00Z,0.6112
2013-01-01T00:00:00Z,0.1879
2014-01-01T00:00:00Z,0.8414
2015-01-01T00:00:00Z,1.9612
2016-01-01T00:00:00Z,1.7234
2017-01-01T00:00:00Z,0.294
2018-01-01T00:00:00Z,1.2122