time,mean_trophic_level
UTC,
2003-01-01T00:00:00Z,3.7619321
2004-01-01T00:00:00Z,3.773371
2005-01-01T00:00:00Z,3.7291534
2006-01-01T00:00:00Z,3.7349937
2007-01-01T00:00:00Z,3.712589
2008-01-01T00:00:00Z,3.6813354
2009-01-01T00:00:00Z,3.679215
2010-01-01T00:00:00Z,3.6607633
2011-01-01T00:00:00Z,3.6863332
2012-01-01T00:00:00Z,3.6679723
2013-01-01T00:00:00Z,3.6426105
2014-01-01T00:00:00Z,3.6670625
2015-01-01T00:00:00Z,3.6790628
2016-01-01T00:00:00Z,3.67327
2017-01-01T00:00:00Z,3.6572514