time,live_pup_count
UTC,count
1997-01-01T00:00:00Z,19506
1998-01-01T00:00:00Z,9428
1999-01-01T00:00:00Z,20071
2000-01-01T00:00:00Z,19880
2001-01-01T00:00:00Z,19806
2002-01-01T00:00:00Z,21447
2003-01-01T00:00:00Z,16302
2004-01-01T00:00:00Z,18961
2005-01-01T00:00:00Z,21486
2006-01-01T00:00:00Z,20477
2007-01-01T00:00:00Z,25290
2008-01-01T00:00:00Z,25733
2009-01-01T00:00:00Z,12807
2010-01-01T00:00:00Z,13422
2011-01-01T00:00:00Z,27148
2012-01-01T00:00:00Z,26244
2013-01-01T00:00:00Z,19282
2014-01-01T00:00:00Z,22362
2015-01-01T00:00:00Z,16544
2016-01-01T00:00:00Z,16987
2017-01-01T00:00:00Z,25735
2018-01-01T00:00:00Z,25212