Population.inc,Seafood,GDP,Landings,Landings -1,Exploitation,Exploitation -1,Freshwater,SST,Chl (µg/l),PDO,MEI,NPGO,STI (days),TUMI (m3/s/100m),GDP inc
2.425261594,22.4074448,2.910360472,2.981496475,,0.255553758,,0.029931576,11.59064444,,0.938316667,0.021216667,-0.379891667,62,22195.33333,
1.854176978,23.4507064,3.094106614,2.598322884,2.981496475,0.241073107,0.255553758,0.030474892,14.1791631,,0.133733333,0.884758333,-0.644129167,75,18874.66667,0.063135183
1.771976985,23.9042984,3.344415509,2.205408789,2.598322884,0.187530872,0.241073107,0.030475319,15.6099675,,1.784991667,1.935158333,0.068425,65.33333333,18351,0.080898601
1.660322448,24.0857352,3.762363691,2.169224859,2.205408789,0.188329982,0.187530872,0.030480793,15.07746435,0.74831,0.789575,-0.180125,0.512579167,53.66666667,22598.83333,0.124968976
2.054212528,28.803092,4.059618175,2.016074875,2.169224859,0.178790554,0.188329982,0.030497246,13.93336333,1.179164,0.627933333,-0.410033333,-0.164308333,40.33333333,21000.33333,0.079007376
2.312045592,27.0794424,4.364609273,2.648516459,2.016074875,0.24002901,0.178790554,0.030586099,14.5932925,1.196962,1.236258333,0.312825,-0.8089,57.66666667,18575.33333,0.075128026
2.33104594,29.3927616,4.753980776,2.875731807,2.648516459,0.200635073,0.24002901,0.030617579,14.57697833,0.723105,1.852091667,1.643383333,0.456233333,59.66666667,19376.16667,0.089211079
2.376626909,27.0794424,5.194264388,3.07059743,2.875731807,0.174147739,0.200635073,0.030622736,14.10131429,1.623719,0.695833333,-0.357991667,1.306016667,52.66666667,20760,0.092613671
2.491756684,28.3948592,5.599083772,3.345200838,3.07059743,0.159819369,0.174147739,0.030770711,12.02886375,1.142711,-0.216233333,-0.67225,0.752520833,33.33333333,22239,0.077935845
2.427959945,29.6649168,6.011025149,2.833741391,3.345200838,0.153221873,0.159819369,0.030770986,14.59048917,1.109827,-0.240416667,0.3786,-0.101825,32.33333333,19319.33333,0.073572998
1.477464915,29.3927616,6.180305536,2.85717997,2.833741391,0.177933225,0.153221873,0.030775568,13.8399752,0.690584,-0.639583333,0.751066667,-0.524208333,55.66666667,21253.33333,0.02816165
1.5287842,28.576296,6.369361492,2.689627489,2.85717997,0.197464325,0.177933225,0.030779164,14.14131295,0.672788,0.933316667,1.382616667,-0.951183333,82,15372,0.030590066
0.93762166,35.7430496,6.579327212,2.411763489,2.689627489,0.163643029,0.197464325,0.030783066,13.88797521,1.249768,1.406658333,1.058825,-1.915545833,88,15217.33333,0.032964956
0.597082343,33.6111672,6.89108547,3.000260298,2.411763489,0.189230207,0.163643029,0.030783459,13.51518571,0.814958,0.118341667,0.609083333,-1.261654167,54.66666667,20399.66667,0.047384519
0.718408341,28.4402184,7.275330913,2.769430799,3.000260298,0.163174454,0.189230207,0.03078398,14.14383131,1.840014,0.647075,0.382641667,-1.1586,63.66666667,17805.66667,0.055759785
0.996814755,28.1680632,7.755824637,3.060906575,2.769430799,0.171056999,0.163174454,0.030784246,13.57473527,2.039641,0.660416667,-0.352908333,-0.947520833,63,21463,0.066044243
1.455079039,28.9845288,8.538277542,3.315060427,3.060906575,0.176183625,0.171056999,0.030784342,14.2764873,0.952605,1.485416667,1.328516667,-0.817845833,55.66666667,19279.83333,0.100885843
1.44251929,28.3495,9.351068616,2.593934722,3.315060427,0.131419614,0.176183625,0.030984594,14.66003203,1.163664,0.501266667,1.166733333,0.614458333,46,19275.33333,0.095193799
1.341834797,28.8938104,10.12160612,3.22063325,2.593934722,0.165504804,0.131419614,0.031016869,13.69407976,2.161436,-0.884166667,-0.893375,1.597991667,51.33333333,26051.66667,0.082401011
2.478723861,27.8505488,10.99373341,3.422775591,3.22063325,0.178445177,0.165504804,0.031016949,13.03698294,1.245129,-0.6975,-0.60855,1.841833333,64,21057,0.086164911
1.367070346,28.8484512,11.10827456,3.035797246,3.422775591,0.16060079,0.178445177,0.031016996,12.86945347,2.006179,-0.382075,-0.189841667,2.204641667,63,23918,0.010418767
1.021921473,29.937072,11.5414045,2.76588139,3.035797246,0.126759687,0.16060079,0.03101706,12.8992623,1.152122,0.038741667,0.446208333,1.548395833,32.66666667,24690.66667,0.038991649
0.900434146,30.9349744,12.18619829,2.46841535,2.76588139,0.119109207,0.126759687,0.031017151,13.66359246,1.6386,1.140408333,0.495183333,1.080504167,60.66666667,23056,0.055867879
0.749808943,31.4339256,13.04072335,2.944105421,2.46841535,0.205846144,0.119109207,0.031017255,13.86024167,1.556349,0.41,0.353966667,0.370454167,61,17184.66667,0.070122366
0.617158655,31.3432072,13.97039684,3.237910812,2.944105421,0.257534641,0.205846144,0.031017255,14.46715505,2.03311,0.578325,0.440666667,-1.333004167,59.33333333,18900.33333,0.071290025
0.593734964,31.7060808,14.87587203,3.326283464,3.237910812,0.277510503,0.257534641,0.031027613,14.01999271,1.236647,0.302091667,0.185533333,-0.452875,42.33333333,22219.33333,0.064813849
0.744781405,30.7988968,15.62439726,3.174612341,3.326283464,0.282085835,0.277510503,0.031027791,13.62952937,1.079996,-0.009566667,-0.136708333,0.543366667,24,22747.66667,0.050318074
1.050645887,28.6670144,16.02959682,3.065510963,3.174612341,0.310846076,0.282085835,0.031027926,12.82644076,1.11666,-1.245425,-0.694616667,1.399704167,41.66666667,21994.66667,0.025933772
1.104548119,27.895908,15.5044956,2.497231242,3.065510963,0.265360471,0.310846076,0.031027926,13.03900992,1.210034,-0.747075,0.248425,0.652833333,48.66666667,19934,-0.03275823
0.879009327,28.8484512,15.95261721,3.010283096,2.497231242,0.307849335,0.265360471,0.031027932,13.23118016,2.007673,-0.19375,-0.172666667,1.428020833,55.66666667,20819.66667,0.028902689
1.005509245,30.7081784,16.52304826,3.263167577,3.010283096,0.281638133,0.307849335,,13.34227778,1.300592,-1.176241667,-0.930383333,0.883270833,37.66666667,20489,0.035757835
1.023708476,29.9824312,17.22638939,3.048644638,3.263167577,0.230564697,0.281638133,,11.86924722,1.043114,-1.183325,0.103908333,1.4783125,55,24002.66667,0.042567274
